id,name,number,lon,lat,count,accessible
"322",Summerside,6213,-113.461,53.4173,0,"0"
"323",Weir Industrial,6780,-113.406,53.5115,0,"0"
"324",River Valley Cameron,4467,-113.622,53.4722,0,"0"
"325",Aster,6445,-113.357,53.4523,0,"0"
"326",Mactaggart,5477,-113.564,53.4382,0,"0"
"327",Magrath Heights,5476,-113.557,53.4484,0,"0"
"328",Southeast Industrial,6690,-113.378,53.5014,0,"0"
"329",High Park Industrial,4210,-113.584,53.561,0,"0"
"330",Anthony Henday South East,6665,-113.417,53.4369,0,"1"
"331",River's Edge,4469,-113.64,53.4528,0,"0"
"332",Ebbers,2251,-113.401,53.6112,0,"0"
"333",Keswick Area,5576,-113.637,53.4168,0,"0"
"334",Kirkness,2430,-113.389,53.6112,1,"1"
"335",Starling,4474,-113.658,53.5916,0,"0"
"336",Potter Greens,4710,-113.672,53.518,0,"0"
"337",Yellowhead Corridor West,1280,-113.514,53.5831,0,"0"
"338",Stillwater,4468,-113.678,53.4447,0,"0"
"339",Strathearn,6710,-113.463,53.5319,1,"4"
"340",Mill Creek Ravine North,6491,-113.478,53.5268,0,"4"
"341",Canossa,3080,-113.523,53.6359,0,"0"
"342",McCauley,1140,-113.484,53.5553,1,"3"
"343",Crystallina Nera West,2463,-113.461,53.6401,0,"0"
"344",Marquis,2671,-113.331,53.6485,2,"2"
"345",Cashman,5466,-113.499,53.418,0,"0"
"346",Decoteau,6663,-113.381,53.4103,0,"0"
"347",Allard,5458,-113.527,53.4002,0,"0"
"348",South Terwillegar,5642,-113.579,53.4401,0,"0"
"349",Terwillegar Towne,5640,-113.578,53.4498,0,"0"
"350",Gainer Industrial,6250,-113.425,53.5166,0,"0"
"351",King Edward Park,6360,-113.452,53.5152,1,"3"
"352",Ermineskin,5180,-113.505,53.4576,0,"2"
"353",Summerlea,4520,-113.622,53.5253,1,"1"
"354",West Meadowlark Park,4590,-113.609,53.5256,1,"5"
"355",Hudson,3480,-113.554,53.6046,0,"0"
"356",Edmonton South Central,8887,-113.554,53.3679,0,"0"
"357",Desrochers Area,5463,-113.553,53.3994,0,"0"
"358",River Valley Victoria,1200,-113.522,53.535,0,"0"
"359",Rutherford,5454,-113.53,53.4183,0,"0"
"360",Anthony Henday South,4014,-113.543,53.4313,0,"0"
"361",Heritage Valley Town Centre Area,5464,-113.543,53.4071,0,"0"
"362",Keheewin,5250,-113.504,53.4504,1,"1"
"363",Ellerslie Industrial,6214,-113.488,53.412,0,"0"
"364",Anthony Henday,4011,-113.658,53.5391,0,"0"
"365",Glenridding Heights,5578,-113.603,53.4209,0,"0"
"366",Cavanagh,5467,-113.511,53.4077,0,"0"
"367",Anthony Henday South West,4012,-113.648,53.4813,0,"0"
"368",Rossdale,1220,-113.494,53.5325,0,"3"
"369",Anthony Henday Terwillegar,4013,-113.595,53.4423,0,"0"
"370",The Hamptons,4461,-113.676,53.488,0,"0"
"371",Hawks Ridge,4473,-113.701,53.5885,0,"0"
"372",Kinokamau Plains Area,4475,-113.625,53.5829,0,"0"
"373",Mistatim Industrial,4320,-113.596,53.5967,0,"0"
"374",Alberta Park Industrial,4010,-113.597,53.5667,0,"0"
"375",Garside Industrial,4170,-113.584,53.5668,0,"0"
"376",Hagmann Estate Industrial,3220,-113.545,53.5822,0,"1"
"377",Prince Charles,3350,-113.536,53.5755,1,"1"
"378",Calder,3070,-113.529,53.5884,1,"2"
"379",Cloverdale,6070,-113.473,53.537,0,"0"
"380",Laurier Heights,3270,-113.566,53.5153,1,"2"
"381",River Valley Capitol Hill,3380,-113.554,53.525,0,"0"
"382",Cy Becker,2611,-113.408,53.6326,0,"0"
"383",High Park,4200,-113.584,53.555,0,"5"
"384",River Valley Laurier,3382,-113.564,53.5101,0,"1"
"385",McQueen,3300,-113.572,53.555,2,"6"
"386",North Glenora,3310,-113.558,53.5549,1,"7"
"387",Canora,4090,-113.584,53.5462,1,"4"
"388",McConachie Area,2521,-113.43,53.6351,0,"0"
"389",Pembina,3340,-113.554,53.6016,0,"0"
"390",Terra Losa,4540,-113.623,53.5337,0,"1"
"391",River Valley Glenora,3381,-113.545,53.5408,0,"3"
"392",Anthony Henday Horse Hill,4021,-113.384,53.6322,0,"0"
"393",Westmount,3440,-113.54,53.5522,1,"9"
"394",Queen Mary Park,1180,-113.52,53.5534,0,"5"
"395",Carlton,3470,-113.559,53.6216,0,"0"
"396",Belmont,2070,-113.394,53.594,1,"1"
"397",Trumpeter Area,4471,-113.676,53.5909,0,"0"
"398",Kernohan,2390,-113.381,53.5935,0,"1"
"399",Wedgewood Heights,4570,-113.645,53.4791,0,"0"
